temperature in Â°C,P anode in  bar,P cathode in bar,powerdensity in W/cm2,currentdensity in A/cm2
30.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0029608681559822173,0.002
30.0,0.0,0.0,0.0116368664330017,0.007656854249492381
30.0,0.0,0.0,0.027922193714816357,0.018049159094905644
30.0,0.0,0.0,0.05344563259845198,0.03404915909490565
30.0,0.0,0.0,0.08972307346090755,0.056409838869903535
30.0,0.0,0.0,0.13823857342935308,0.08580371578330168
30.0,0.0,0.0,0.20049715750891528,0.12284423413820594
30.0,0.0,0.0,0.2780639705586589,0.168099068134145
30.0,0.0,0.0,0.37259609301999785,0.22209906813414496
30.0,0.0,0.0,0.48587026482718604,0.2853446213375126
30.0,0.0,0.0,0.6198083072607865,0.3583103667253314
30.0,0.0,0.0,0.7765012282244688,0.4414488054886375
30.0,0.0,0.0,0.9582325327014636,0.5351931386507013
30.0,0.0,0.0,1.167501002387835,0.6399595454803717
30.0,0.0,0.0,1.4070430758289236,0.7561490458665943
30.0,0.0,0.0,1.6798548983949484,0.8841490458665943
30.0,0.0,0.0,1.9892140854120608,1.0243346371375948
30.0,0.0,0.0,2.338701231845248,1.1770697018738892
30.0,0.0,0.0,2.732221198057529,1.3427078617284347
30.0,0.0,0.0,3.1740241989406495,1.521593299928418
30.0,0.0,0.0,3.6687267215578263,1.7140614791165631
30.0,0.0,0.0,4.221332294021533,1.9204397725487938
30.0,0.0,0.0,4.837252125740985,2.1410480226211788
30.0,0.0,0.0,5.522325636593065,2.376199037928364
30.0,0.0,0.0,6.282840890140048,2.626199037928364
30.0,0.0,0.0,7.1255549438214185,2.891348052635189
30.0,0.0,0.0,7.481591290494226,3.0
30.0,0.0,4.166666666666667,0.0,0.0
30.0,0.0,4.166666666666667,0.003004580003415539,0.002
30.0,0.0,4.166666666666667,0.011803077387546377,0.007656854249492381
30.0,0.0,4.166666666666667,0.02830918666764088,0.018049159094905644
30.0,0.0,4.166666666666667,0.05416223119040093,0.03404915909490565
30.0,0.0,4.166666666666667,0.0908807343569524,0.056409838869903535
30.0,0.0,4.166666666666667,0.1399442963839948,0.08580371578330168
30.0,0.0,4.166666666666667,0.20284762335737125,0.12284423413820594
30.0,0.0,4.166666666666667,0.2811412934058905,0.168099068134145
30.0,0.0,4.166666666666667,0.3764653315345412,0.22209906813414496
30.0,0.0,4.166666666666667,0.4905785730020782,0.2853446213375126
30.0,0.0,4.166666666666667,0.6253854192890388,0.3583103667253314
30.0,0.0,4.166666666666667,0.782960893790534,0.4414488054886375
30.0,0.0,4.166666666666667,0.9655745287163549,0.5351931386507013
30.0,0.0,4.166666666666667,1.1757134083449794,0.6399595454803717
30.0,0.0,4.166666666666667,1.4161045795414038,0.7561490458665943
30.0,0.0,4.166666666666667,1.6897369755908147,0.8841490458665943
30.0,0.0,4.166666666666667,1.9998829603545871,1.0243346371375948
30.0,0.0,4.166666666666667,2.3501195741170746,1.1770697018738892
30.0,0.0,4.166666666666667,2.7443495441022705,1.3427078617284347
30.0,0.0,4.166666666666667,3.1868221085871187,1.521593299928418
30.0,0.0,4.166666666666667,3.6821536924638814,1.7140614791165631
30.0,0.0,4.166666666666667,4.235348463324942,1.9204397725487938
30.0,0.0,4.166666666666667,4.851818790244004,2.1410480226211788
30.0,0.0,4.166666666666667,5.53740562208872,2.376199037928364
30.0,0.0,4.166666666666667,6.2983987981408776,2.626199037928364
30.0,0.0,4.166666666666667,7.1415573007675075,2.891348052635189
30.0,0.0,4.166666666666667,7.497759942660119,3.0
30.0,0.0,8.333333333333334,0.0,0.0
30.0,0.0,8.333333333333334,0.003020113919538918,0.002
30.0,0.0,8.333333333333334,0.011862429435376794,0.007656854249492381
30.0,0.0,8.333333333333334,0.028448584742381176,0.018049159094905644
30.0,0.0,8.333333333333334,0.054423734401511714,0.03404915909490565
30.0,0.0,8.333333333333334,0.09131062155999778,0.056409838869903535
30.0,0.0,8.333333333333334,0.14059161205753432,0.08580371578330168
30.0,0.0,8.333333333333334,0.20376278768759035,0.12284423413820594
30.0,0.0,8.333333333333334,0.2823747637113159,0.168099068134145
30.0,0.0,8.333333333333334,0.3780663354065326,0.22209906813414496
30.0,0.0,8.333333333333334,0.492593947016768,0.2853446213375126
30.0,0.0,8.333333333333334,0.6278585895367582,0.3583103667253314
30.0,0.0,8.333333333333334,0.7859310296925253,0.4414488054886375
30.0,0.0,8.333333333333334,0.9690758922583708,0.5351931386507013
30.0,0.0,8.333333333333334,1.1797749091414176,0.6399595454803717
30.0,0.0,8.333333333333334,1.4207495339692406,0.7561490458665943
30.0,0.0,8.333333333333334,1.6949830571624869,0.8841490458665943
30.0,0.0,8.333333333333334,2.005742319635041,1.0243346371375948
